                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.85688,                0.74421,                 1.1664,                0.89635,                0.78303,                0.87173,                 0.5917,                 1.2528,                0.75202,                 1.4879,              0.0010454,              0.0010454,              0.0010454
                     82,                0.86142,                0.73566,                 1.1678,                0.86449,                 0.7783,                0.86286,                0.58994,                 1.2072,                0.76831,                 1.4166,             0.00095595,             0.00095595,             0.00095595
                     83,                0.82883,                0.71757,                 1.1553,                0.86476,                 0.7912,                0.86777,                0.59038,                 1.2324,                0.76455,                  1.467,             0.00087058,             0.00087058,             0.00087058
                     84,                0.85224,                  0.732,                 1.1604,                0.87047,                0.80381,                0.87368,                0.58968,                 1.2409,                0.76358,                  1.464,             0.00078933,             0.00078933,             0.00078933
                     85,                0.83379,                0.71116,                 1.1496,                 0.8597,                 0.8106,                0.87074,                0.59379,                 1.2224,                0.75145,                 1.4479,             0.00071228,             0.00071228,             0.00071228
                     86,                0.82287,                0.70863,                 1.1542,                0.86017,                0.80199,                0.87268,                0.59001,                 1.2437,                0.76434,                  1.476,             0.00063952,             0.00063952,             0.00063952
                     87,                 0.8337,                0.71664,                  1.158,                0.87038,                0.79179,                0.86282,                0.59149,                 1.2224,                0.77295,                 1.4319,             0.00057111,             0.00057111,             0.00057111
                     88,                0.82232,                0.69217,                 1.1465,                0.85981,                0.78349,                0.86414,                0.59355,                 1.2258,                0.74925,                 1.4375,             0.00050711,             0.00050711,             0.00050711
                     89,                0.81605,                0.70403,                 1.1433,                0.83569,                0.80718,                0.86584,                0.59092,                 1.2483,                0.74402,                 1.4668,             0.00044761,             0.00044761,             0.00044761
                     90,                0.82092,                0.70134,                 1.1505,                0.86605,                0.79484,                 0.8683,                 0.5931,                 1.2109,                0.72378,                 1.4445,             0.00039264,             0.00039264,             0.00039264
                     91,                0.81526,                0.69747,                 1.1465,                0.86166,                0.78802,                0.86486,                0.59393,                 1.2228,                0.73828,                 1.4506,             0.00034227,             0.00034227,             0.00034227
                     92,                0.80583,                0.68428,                 1.1387,                 0.8782,                0.79853,                0.86607,                0.59538,                 1.2126,                0.73039,                 1.4536,             0.00029655,             0.00029655,             0.00029655
                     93,                0.79204,                0.68143,                 1.1376,                 0.8542,                0.79103,                0.86528,                0.58883,                 1.2378,                0.74114,                 1.4635,             0.00025551,             0.00025551,             0.00025551
                     94,                0.80245,                 0.6828,                 1.1403,                0.86062,                0.79224,                0.86817,                0.60113,                 1.2184,                0.73028,                  1.447,             0.00021921,             0.00021921,             0.00021921
                     95,                 0.8011,                0.68163,                  1.144,                0.86333,                0.79527,                0.86847,                 0.5978,                 1.2269,                0.73993,                 1.4531,             0.00018768,             0.00018768,             0.00018768
                     96,                0.80423,                0.68269,                 1.1412,                0.87005,                0.78202,                0.86951,                0.60538,                 1.2169,                0.71671,                 1.4506,             0.00016094,             0.00016094,             0.00016094
                     97,                 0.7864,                0.67305,                 1.1361,                0.86403,                0.79658,                0.86776,                0.59924,                 1.2256,                0.72899,                  1.462,             0.00013903,             0.00013903,             0.00013903
                     98,                0.79219,                0.67479,                 1.1269,                0.86817,                 0.7968,                0.86987,                0.59896,                 1.2181,                0.73038,                 1.4523,             0.00012197,             0.00012197,             0.00012197
                     99,                0.78465,                0.66916,                 1.1376,                0.86617,                0.78957,                0.86542,                0.59663,                 1.2159,                0.73115,                 1.4465,             0.00010977,             0.00010977,             0.00010977
